,edge,span,mid,ferruginous,euxinic
2,545,10,540,1.000,0.000
3,555,10,550,1.000,0.000
4,565,10,560,1.000,0.000
5,575,10,570,1.000,0.000
6,585,10,580,1.000,0.000
7,595,10,590,1.000,0.000
8,605,10,600,0.965,0.035
9,615,10,610,0.944,0.056
10,625,10,620,0.917,0.083
11,635,10,630,0.875,0.125
12,645,10,640,0.716,0.284
13,655,10,650,0.576,0.424
14,700,45,677.5,0.555,0.445
15,760,60,730,0.588,0.412
16,790,30,775,0.647,0.353
17,805,15,797.5,0.664,0.336
18,815,10,810,0.706,0.294
19,825,10,820,0.706,0.294
20,840,15,832.5,0.706,0.294
21,860,20,850,0.721,0.279
22,880,20,870,0.743,0.257
23,1195,315,1037.5,0.784,0.216
24,1565,370,1380,0.936,0.064
25,1635,70,1600,0.989,0.011
26,1645,10,1640,0.989,0.011
27,1825,180,1735,NA,NA
